Date,Open,High,Low,Close,Adj Close,Volume
2022-04-20,68.000000,87.750000,66.000000,81.500000,81.500000,2840200
2022-04-21,null,null,null,null,null,null
2022-04-22,null,null,null,null,null,null
2022-04-25,null,null,null,null,null,null
2022-04-26,null,null,null,null,null,null
2022-04-27,120.000000,121.500000,113.000000,114.000000,114.000000,38312500
2022-04-28,112.500000,113.500000,111.500000,112.500000,112.500000,39894700
2022-04-29,113.500000,115.000000,113.000000,115.000000,115.000000,21106900
2022-05-03,115.000000,118.500000,113.500000,117.500000,117.500000,26009800
2022-05-05,119.000000,119.000000,115.500000,115.500000,115.500000,14300200
2022-05-06,114.000000,114.500000,113.000000,113.500000,113.500000,18610000
2022-05-09,112.500000,113.000000,110.000000,110.500000,110.500000,20008500
2022-05-10,110.500000,113.000000,110.000000,113.000000,113.000000,19690000
2022-05-11,113.000000,113.000000,109.500000,112.500000,112.500000,11274100
2022-05-12,111.500000,112.000000,108.500000,109.000000,109.000000,19964000
2022-05-13,110.000000,110.000000,107.500000,107.500000,107.500000,11370800
2022-05-17,108.000000,108.500000,105.500000,108.000000,108.000000,19527700
2022-05-18,108.500000,110.000000,107.500000,110.000000,110.000000,20744700
2022-05-19,108.000000,109.000000,107.500000,108.000000,108.000000,8425100
2022-05-20,109.000000,112.500000,108.500000,111.500000,111.500000,21988000
2022-05-23,112.000000,115.000000,111.500000,115.000000,115.000000,16737500
2022-05-24,115.000000,115.000000,111.000000,111.000000,111.000000,16897700
2022-05-25,112.000000,112.500000,108.500000,108.500000,108.500000,16910900
2022-05-26,109.500000,110.500000,109.000000,109.500000,109.500000,7129300
2022-05-27,110.500000,112.000000,110.000000,111.000000,111.000000,7835800
2022-05-30,112.000000,113.000000,111.500000,112.500000,112.500000,10112700
2022-05-31,112.500000,113.000000,110.500000,113.000000,113.000000,17740700
2022-06-01,112.500000,113.000000,111.000000,111.500000,111.500000,8071600
2022-06-02,111.000000,112.000000,110.500000,110.500000,110.500000,8704600
2022-06-06,111.000000,111.500000,108.500000,110.000000,110.000000,7431800
2022-06-07,110.000000,110.500000,108.000000,108.500000,108.500000,4881800
2022-06-08,109.000000,110.500000,108.500000,109.000000,109.000000,4370400
2022-06-09,109.000000,114.000000,108.500000,113.000000,113.000000,30842400
2022-06-10,112.000000,112.500000,111.000000,111.500000,111.500000,10724600
2022-06-13,109.500000,109.500000,107.000000,108.000000,108.000000,22434300
2022-06-14,108.000000,109.000000,107.000000,107.500000,107.500000,13831200
2022-06-15,108.000000,110.000000,108.000000,109.000000,109.000000,13130100
2022-06-16,110.500000,111.000000,106.000000,106.000000,106.000000,26391200
2022-06-17,106.500000,108.000000,105.500000,106.000000,106.000000,29346600